t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.15,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.25,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.31,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.37,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.53,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.59,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.64,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.70,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.75,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.82,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.82,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.82,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.88,LeftHandAnchor,-0.167,-0.157,0.270,281.9,33.5,117.8
0.88,RightHandAnchor,0.134,-0.144,0.280,280.2,347.4,214.4
0.88,Head,-0.010,-0.004,0.012,9.1,358.4,359.3
0.94,LeftHandAnchor,-0.166,-0.158,0.272,282.3,32.5,118.8
0.94,RightHandAnchor,0.133,-0.145,0.282,281.6,346.5,215.0
0.94,Head,-0.010,-0.003,0.011,8.8,358.4,359.3
1.00,LeftHandAnchor,-0.165,-0.159,0.274,282.3,33.3,118.5
1.00,RightHandAnchor,0.132,-0.146,0.284,281.7,344.0,217.5
1.00,Head,-0.010,-0.003,0.010,8.6,358.2,359.2
1.06,LeftHandAnchor,-0.164,-0.160,0.275,282.9,28.8,122.7
1.06,RightHandAnchor,0.132,-0.146,0.285,281.9,342.4,218.6
1.06,Head,-0.010,-0.003,0.009,8.4,358.1,359.2
1.11,LeftHandAnchor,-0.164,-0.160,0.276,282.3,38.0,113.5
1.11,RightHandAnchor,0.132,-0.146,0.285,278.9,306.6,255.5
1.11,Head,-0.009,-0.002,0.009,8.2,358.1,359.1
1.17,LeftHandAnchor,-0.164,-0.161,0.276,282.2,39.0,111.0
1.17,RightHandAnchor,0.132,-0.146,0.284,278.5,298.1,265.1
1.17,Head,-0.009,-0.002,0.008,7.9,358.1,359.0
1.22,LeftHandAnchor,-0.164,-0.160,0.276,282.3,39.6,110.5
1.22,RightHandAnchor,0.132,-0.146,0.283,278.9,308.9,253.7
1.22,Head,-0.009,-0.002,0.007,7.8,358.1,359.0
1.28,LeftHandAnchor,-0.164,-0.160,0.276,282.3,40.2,110.1
1.28,RightHandAnchor,0.132,-0.146,0.283,278.9,310.5,252.5
1.28,Head,-0.009,-0.001,0.007,7.8,358.1,359.0
1.33,LeftHandAnchor,-0.163,-0.160,0.275,282.2,39.1,111.5
1.33,RightHandAnchor,0.132,-0.146,0.283,278.9,312.6,250.4
1.33,Head,-0.009,-0.001,0.007,7.8,358.1,359.0
1.39,LeftHandAnchor,-0.163,-0.160,0.274,282.3,38.6,112.0
1.39,RightHandAnchor,0.132,-0.146,0.283,278.9,314.8,248.4
1.39,Head,-0.009,-0.002,0.006,7.9,357.9,359.1
1.45,LeftHandAnchor,-0.163,-0.160,0.274,282.2,37.9,112.8
1.45,RightHandAnchor,0.133,-0.146,0.282,278.8,314.9,248.3
1.45,Head,-0.010,-0.002,0.006,8.0,357.7,359.1
1.50,LeftHandAnchor,-0.163,-0.160,0.274,282.1,37.3,113.5
