t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.15,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.26,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.31,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.37,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.53,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.59,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.64,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.70,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.76,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.81,LeftHandAnchor,-0.172,-0.201,-0.007,270.7,24.9,347.4
0.81,RightHandAnchor,0.239,-0.431,0.062,3.6,19.1,331.9
0.81,Head,-0.006,-0.003,0.002,6.3,359.2,2.6
0.87,LeftHandAnchor,-0.169,-0.202,-0.009,271.2,42.2,322.3
0.87,RightHandAnchor,0.239,-0.432,0.062,3.7,19.0,331.9
0.87,Head,-0.006,-0.003,0.002,6.3,359.1,2.6
0.93,LeftHandAnchor,-0.165,-0.205,-0.008,271.6,353.3,8.0
0.93,RightHandAnchor,0.239,-0.431,0.062,3.8,19.0,331.9
0.93,Head,-0.006,-0.003,0.002,6.3,359.0,2.6
0.99,LeftHandAnchor,-0.165,-0.205,-0.008,271.5,315.4,46.5
0.99,RightHandAnchor,0.239,-0.431,0.062,3.7,19.0,331.9
0.99,Head,-0.005,-0.002,0.001,6.2,359.1,2.5
1.04,LeftHandAnchor,-0.164,-0.205,-0.011,273.0,347.5,15.3
1.04,RightHandAnchor,0.239,-0.431,0.062,3.5,19.1,332.0
1.04,Head,-0.005,-0.002,0.001,6.2,359.1,2.4
1.10,LeftHandAnchor,-0.161,-0.207,-0.011,274.3,302.1,64.2
1.10,RightHandAnchor,0.239,-0.432,0.062,3.3,19.0,332.2
1.10,Head,-0.005,-0.002,0.001,6.2,359.2,2.3
1.15,LeftHandAnchor,-0.159,-0.212,-0.016,278.2,304.2,56.4
1.15,RightHandAnchor,0.239,-0.432,0.062,3.4,19.0,332.2
1.15,Head,-0.005,-0.002,0.001,6.2,359.3,2.3
1.21,LeftHandAnchor,-0.241,-0.305,0.139,290.6,213.0,180.2
1.21,RightHandAnchor,0.239,-0.431,0.062,3.4,19.0,332.2
1.21,Head,-0.005,-0.002,0.000,6.2,359.2,2.4
1.27,LeftHandAnchor,-0.209,-0.266,0.084,287.1,200.1,183.8
1.27,RightHandAnchor,0.240,-0.431,0.062,3.3,18.9,332.2
1.27,Head,-0.006,-0.002,0.000,6.2,359.0,2.4
1.32,LeftHandAnchor,-0.205,-0.256,0.073,284.6,175.2,205.2
1.32,RightHandAnchor,0.240,-0.432,0.062,3.2,18.9,332.2
1.32,Head,-0.006,-0.003,0.000,6.2,358.9,2.5
1.38,LeftHandAnchor,-0.206,-0.258,0.071,282.2,186.0,193.4
1.38,RightHandAnchor,0.239,-0.431,0.062,3.0,18.8,332.2
1.38,Head,-0.006,-0.002,0.000,6.2,358.9,2.5
1.43,LeftHandAnchor,-0.206,-0.259,0.070,282.2,182.3,196.7
1.43,RightHandAnchor,0.239,-0.431,0.062,3.0,18.9,332.2
1.43,Head,-0.006,-0.003,0.000,6.2,358.9,2.5
1.49,LeftHandAnchor,-0.205,-0.260,0.067,281.3,180.7,197.0
