t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.15,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.26,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.31,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.37,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.54,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.59,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.64,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.70,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.76,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.82,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.82,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.82,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.87,LeftHandAnchor,-0.103,-0.112,0.262,301.9,351.7,95.2
0.87,RightHandAnchor,0.083,-0.113,0.285,280.3,116.0,183.6
0.87,Head,-0.002,0.009,-0.012,348.3,0.0,0.6
0.93,LeftHandAnchor,-0.102,-0.112,0.262,301.5,352.5,94.8
0.93,RightHandAnchor,0.079,-0.116,0.285,280.4,116.3,183.3
0.93,Head,-0.002,0.009,-0.012,348.1,360.0,0.5
0.99,LeftHandAnchor,-0.099,-0.111,0.261,301.7,354.1,94.5
0.99,RightHandAnchor,0.074,-0.117,0.285,280.2,116.8,183.7
0.99,Head,-0.002,0.009,-0.012,347.8,359.9,0.4
1.04,LeftHandAnchor,-0.096,-0.109,0.260,303.0,355.6,93.3
1.04,RightHandAnchor,0.070,-0.119,0.286,282.3,135.7,167.1
1.04,Head,-0.002,0.010,-0.013,347.4,359.9,0.2
1.10,LeftHandAnchor,-0.086,-0.107,0.258,306.9,3.1,94.8
1.10,RightHandAnchor,0.057,-0.121,0.287,283.5,142.2,160.7
1.10,Head,-0.002,0.010,-0.014,347.3,0.1,0.2
1.15,LeftHandAnchor,-0.061,-0.105,0.250,309.0,11.9,91.1
1.15,RightHandAnchor,0.036,-0.127,0.289,279.4,167.9,128.8
1.15,Head,-0.002,0.010,-0.015,347.3,0.1,0.3
1.21,LeftHandAnchor,-0.044,-0.105,0.242,312.6,28.3,75.2
1.21,RightHandAnchor,0.023,-0.136,0.295,282.4,259.7,32.0
1.21,Head,-0.002,0.010,-0.015,347.1,0.1,0.3
1.27,LeftHandAnchor,-0.046,-0.104,0.240,315.2,18.5,78.6
1.27,RightHandAnchor,0.025,-0.135,0.296,288.1,255.3,37.4
1.27,Head,-0.002,0.011,-0.015,346.4,359.8,0.2
1.32,LeftHandAnchor,-0.070,-0.101,0.243,313.3,16.1,82.4
1.32,RightHandAnchor,0.046,-0.121,0.295,280.3,190.6,107.4
1.32,Head,-0.002,0.011,-0.016,346.3,359.9,0.4
1.38,LeftHandAnchor,-0.072,-0.100,0.242,307.8,10.0,86.4
1.38,RightHandAnchor,0.047,-0.116,0.284,284.8,147.3,146.7
1.38,Head,-0.002,0.010,-0.017,346.8,0.0,0.4
1.43,LeftHandAnchor,-0.040,-0.111,0.243,307.8,32.2,75.9
1.43,RightHandAnchor,0.018,-0.128,0.280,280.6,242.4,47.4
1.43,Head,-0.002,0.011,-0.017,346.6,0.1,0.3
1.49,LeftHandAnchor,-0.043,-0.107,0.246,306.6,27.5,79.4
