t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.15,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.26,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.31,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.37,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.54,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.59,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.65,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.70,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.76,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.81,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.81,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.81,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.87,LeftHandAnchor,-0.133,-0.348,0.226,348.7,17.7,6.9
0.87,RightHandAnchor,0.128,-0.202,0.293,285.6,342.8,8.3
0.87,Head,0.019,-0.017,0.020,7.1,7.2,0.9
0.93,LeftHandAnchor,-0.133,-0.348,0.226,348.7,17.6,7.1
0.93,RightHandAnchor,0.128,-0.202,0.292,285.7,344.0,7.1
0.93,Head,0.019,-0.017,0.020,7.4,7.1,0.8
0.99,LeftHandAnchor,-0.133,-0.348,0.226,336.4,26.5,7.8
0.99,RightHandAnchor,0.127,-0.200,0.292,278.3,266.5,82.9
0.99,Head,0.018,-0.018,0.020,7.7,7.0,0.7
1.04,LeftHandAnchor,-0.133,-0.348,0.226,337.5,25.5,8.0
1.04,RightHandAnchor,0.127,-0.200,0.291,278.8,276.5,71.2
1.04,Head,0.018,-0.018,0.019,7.8,7.0,0.7
1.10,LeftHandAnchor,-0.133,-0.347,0.226,338.0,25.2,8.0
1.10,RightHandAnchor,0.128,-0.200,0.290,278.8,279.4,68.3
1.10,Head,0.018,-0.018,0.018,7.9,7.1,0.8
1.16,LeftHandAnchor,-0.133,-0.347,0.226,338.6,24.9,7.9
1.16,RightHandAnchor,0.128,-0.200,0.290,278.7,281.1,67.2
1.16,Head,0.017,-0.018,0.017,7.7,7.0,0.8
1.21,LeftHandAnchor,-0.133,-0.347,0.226,338.9,24.7,7.9
1.21,RightHandAnchor,0.127,-0.201,0.289,278.4,283.0,65.4
1.21,Head,0.017,-0.017,0.016,7.4,7.0,0.8
1.27,LeftHandAnchor,-0.132,-0.346,0.225,339.3,24.4,7.8
1.27,RightHandAnchor,0.127,-0.201,0.288,278.4,282.8,65.7
1.27,Head,0.017,-0.017,0.014,7.2,7.1,0.8
1.32,LeftHandAnchor,-0.132,-0.345,0.225,339.4,24.3,7.8
1.32,RightHandAnchor,0.126,-0.202,0.288,278.2,281.7,67.1
1.32,Head,0.017,-0.016,0.013,7.1,7.2,0.9
1.38,LeftHandAnchor,-0.132,-0.345,0.225,339.5,24.2,7.8
1.38,RightHandAnchor,0.126,-0.201,0.286,278.2,281.8,67.4
1.38,Head,0.017,-0.016,0.012,6.9,7.2,0.9
1.43,LeftHandAnchor,-0.132,-0.345,0.224,339.6,24.1,7.7
1.43,RightHandAnchor,0.126,-0.201,0.285,278.0,282.3,67.3
1.43,Head,0.017,-0.016,0.011,6.7,7.2,0.9
1.49,LeftHandAnchor,-0.132,-0.344,0.224,339.8,23.9,7.8
1.49,RightHandAnchor,0.126,-0.201,0.284,277.8,279.6,70.3
