t,object,x,y,z,pitch,yaw,roll
0.07,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.07,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.07,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.13,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.13,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.13,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.18,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.18,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.18,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.24,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.24,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.24,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.29,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.29,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.29,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.35,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.35,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.35,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.40,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.40,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.40,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.46,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.46,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.46,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.51,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.51,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.51,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.57,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.57,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.57,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.63,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.63,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.63,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.68,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.68,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.68,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.74,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.74,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.74,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.79,LeftHandAnchor,-0.073,-0.494,0.162,19.8,32.3,25.9
0.79,RightHandAnchor,0.076,-0.145,0.370,284.2,348.2,355.7
0.79,Head,-0.003,0.000,-0.003,357.4,4.0,0.7
0.85,LeftHandAnchor,-0.073,-0.493,0.162,19.9,32.3,26.0
0.85,RightHandAnchor,0.077,-0.146,0.370,284.2,348.5,355.3
0.85,Head,-0.003,0.000,-0.003,357.4,3.9,0.7
0.91,LeftHandAnchor,-0.073,-0.493,0.162,19.9,32.3,26.1
0.91,RightHandAnchor,0.076,-0.146,0.370,284.3,348.7,354.9
0.91,Head,-0.002,0.000,-0.003,357.4,4.0,0.6
0.97,LeftHandAnchor,-0.073,-0.493,0.162,19.8,32.3,26.2
0.97,RightHandAnchor,0.076,-0.146,0.369,283.4,346.7,355.1
0.97,Head,-0.002,0.000,-0.003,357.4,4.0,0.6
1.02,LeftHandAnchor,-0.073,-0.493,0.162,19.7,32.4,26.1
1.02,RightHandAnchor,0.076,-0.146,0.368,282.1,348.8,352.6
1.02,Head,-0.002,0.000,-0.003,357.4,4.1,0.6
1.08,LeftHandAnchor,-0.073,-0.493,0.162,19.7,32.4,26.2
1.08,RightHandAnchor,0.076,-0.146,0.368,282.8,2.5,338.8
1.08,Head,-0.002,0.000,-0.003,357.3,4.1,0.5
1.13,LeftHandAnchor,-0.073,-0.493,0.162,19.7,32.4,26.3
1.13,RightHandAnchor,0.071,-0.142,0.365,288.1,30.4,307.6
1.13,Head,-0.002,0.000,-0.003,357.3,4.0,0.5
1.19,LeftHandAnchor,-0.074,-0.493,0.162,19.7,32.4,26.3
1.19,RightHandAnchor,0.064,-0.138,0.364,291.3,32.9,305.8
1.19,Head,-0.002,0.000,-0.003,357.3,3.9,0.2
1.25,LeftHandAnchor,-0.074,-0.493,0.162,19.7,32.4,26.3
1.25,RightHandAnchor,0.058,-0.138,0.363,288.0,330.2,15.6
1.25,Head,-0.002,0.000,-0.003,357.6,3.9,0.1
1.30,LeftHandAnchor,-0.074,-0.493,0.161,19.7,32.4,26.3
1.30,RightHandAnchor,0.077,-0.139,0.367,306.9,278.9,67.9
1.30,Head,-0.002,0.000,-0.003,357.5,4.0,0.4
1.36,LeftHandAnchor,-0.074,-0.493,0.161,19.6,32.5,26.3
1.36,RightHandAnchor,0.099,-0.130,0.371,320.4,264.9,78.0
1.36,Head,-0.002,0.000,-0.003,357.5,4.0,0.7
1.41,LeftHandAnchor,-0.074,-0.493,0.162,19.5,32.6,26.3
1.41,RightHandAnchor,0.117,-0.125,0.377,312.3,238.6,95.2
1.41,Head,-0.001,0.000,-0.003,357.3,4.2,1.0
1.47,LeftHandAnchor,-0.074,-0.492,0.162,12.9,35.9,28.5
1.47,RightHandAnchor,0.105,-0.135,0.371,281.9,158.8,178.9
1.47,Head,0.000,0.001,-0.004,357.1,4.5,0.9
1.52,LeftHandAnchor,-0.073,-0.492,0.162,12.8,36.0,28.5
