t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.15,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.15,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.21,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.21,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.21,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.26,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.26,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.32,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.32,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.37,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.37,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.43,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.43,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.43,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.48,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.48,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.54,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.54,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.59,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.59,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.65,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.65,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.71,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.71,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.71,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.76,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.76,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.81,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.81,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.81,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.87,LeftHandAnchor,-0.138,-0.321,0.357,307.7,19.8,351.2
0.87,RightHandAnchor,0.140,-0.228,0.331,324.2,8.2,356.5
0.87,Head,-0.002,-0.076,0.099,6.2,5.6,2.9
0.93,LeftHandAnchor,-0.138,-0.319,0.358,308.3,18.8,351.2
0.93,RightHandAnchor,0.136,-0.220,0.325,330.2,8.6,359.3
0.93,Head,-0.002,-0.075,0.098,6.0,5.6,2.9
0.99,LeftHandAnchor,-0.138,-0.319,0.359,309.2,17.6,351.8
0.99,RightHandAnchor,0.136,-0.219,0.324,333.5,7.7,1.2
0.99,Head,-0.002,-0.075,0.098,6.0,5.6,2.9
1.05,LeftHandAnchor,-0.139,-0.319,0.359,309.5,17.4,352.0
1.05,RightHandAnchor,0.141,-0.216,0.321,339.3,5.3,1.4
1.05,Head,-0.002,-0.076,0.099,6.3,5.7,2.8
1.10,LeftHandAnchor,-0.139,-0.319,0.360,309.7,17.4,352.3
1.10,RightHandAnchor,0.159,-0.206,0.320,349.2,358.1,358.8
1.10,Head,-0.002,-0.076,0.099,6.6,5.7,2.8
1.16,LeftHandAnchor,-0.139,-0.319,0.360,309.6,17.6,351.7
1.16,RightHandAnchor,0.174,-0.201,0.327,355.3,352.8,347.6
1.16,Head,-0.003,-0.076,0.099,6.8,5.8,2.8
1.21,LeftHandAnchor,-0.138,-0.319,0.360,309.6,17.7,351.3
1.21,RightHandAnchor,0.193,-0.210,0.337,355.2,341.8,338.4
1.21,Head,-0.003,-0.077,0.098,6.9,5.8,2.8
1.27,LeftHandAnchor,-0.138,-0.319,0.360,309.9,17.6,350.8
1.27,RightHandAnchor,0.214,-0.221,0.357,356.6,327.4,335.1
1.27,Head,-0.003,-0.076,0.098,6.8,5.8,2.8
1.32,LeftHandAnchor,-0.138,-0.319,0.360,310.0,17.6,351.0
1.32,RightHandAnchor,0.223,-0.250,0.386,349.6,317.5,314.2
1.32,Head,-0.004,-0.076,0.097,6.7,5.8,2.9
1.38,LeftHandAnchor,-0.138,-0.319,0.359,309.8,17.8,350.9
1.38,RightHandAnchor,0.221,-0.271,0.395,339.6,308.3,305.5
1.38,Head,-0.004,-0.076,0.097,6.6,5.7,3.0
1.44,LeftHandAnchor,-0.138,-0.319,0.359,309.5,18.1,351.0
1.44,RightHandAnchor,0.218,-0.283,0.406,333.1,307.4,290.1
1.44,Head,-0.005,-0.076,0.098,6.5,5.5,3.1
1.49,LeftHandAnchor,-0.138,-0.320,0.359,309.5,17.9,351.4
