t,object,x,y,z,pitch,yaw,roll
0.10,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.10,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.10,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.16,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.16,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.16,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.22,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.22,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.22,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.27,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.27,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.27,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.33,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.33,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.33,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.38,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.38,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.38,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.44,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.44,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.44,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.49,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.49,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.49,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.55,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.55,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.55,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.60,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.60,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.60,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.66,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.66,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.66,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.72,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.72,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.72,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.77,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.77,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.77,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.83,LeftHandAnchor,-0.152,-0.144,0.229,282.0,351.3,12.2
0.83,RightHandAnchor,0.144,-0.141,0.246,289.4,31.4,314.8
0.83,Head,0.001,-0.006,-0.001,13.5,359.2,0.8
0.89,LeftHandAnchor,-0.152,-0.144,0.230,281.2,353.4,9.4
0.89,RightHandAnchor,0.144,-0.141,0.245,289.0,32.2,314.4
0.89,Head,0.001,-0.005,-0.002,13.3,359.0,0.7
0.94,LeftHandAnchor,-0.151,-0.145,0.230,280.4,355.0,5.7
0.94,RightHandAnchor,0.144,-0.141,0.245,288.2,34.3,312.5
0.94,Head,0.001,-0.005,-0.002,13.1,359.0,0.7
1.00,LeftHandAnchor,-0.148,-0.145,0.229,280.7,353.3,8.1
1.00,RightHandAnchor,0.144,-0.140,0.245,288.0,35.6,311.6
1.00,Head,0.002,-0.004,-0.003,12.9,359.1,0.6
1.06,LeftHandAnchor,-0.148,-0.145,0.229,280.9,351.9,11.5
1.06,RightHandAnchor,0.145,-0.141,0.246,288.0,35.8,311.2
1.06,Head,0.002,-0.004,-0.003,12.7,359.1,0.6
1.11,LeftHandAnchor,-0.147,-0.145,0.229,281.0,348.2,13.9
1.11,RightHandAnchor,0.148,-0.142,0.248,287.8,36.1,310.7
1.11,Head,0.002,-0.003,-0.004,12.5,359.1,0.5
1.17,LeftHandAnchor,-0.147,-0.145,0.229,281.1,347.8,14.3
1.17,RightHandAnchor,0.149,-0.142,0.248,287.2,37.3,309.8
1.17,Head,0.003,-0.003,-0.004,12.4,359.1,0.5
1.22,LeftHandAnchor,-0.148,-0.145,0.229,280.9,348.9,13.3
1.22,RightHandAnchor,0.149,-0.142,0.248,286.6,36.8,309.8
1.22,Head,0.003,-0.003,-0.004,12.4,359.1,0.5
1.28,LeftHandAnchor,-0.148,-0.145,0.229,280.5,0.2,3.3
1.28,RightHandAnchor,0.150,-0.142,0.248,285.6,36.4,310.9
1.28,Head,0.003,-0.003,-0.004,12.4,359.0,0.4
1.34,LeftHandAnchor,-0.149,-0.145,0.230,281.0,107.3,259.1
1.34,RightHandAnchor,0.153,-0.142,0.249,271.8,156.9,186.4
1.34,Head,0.003,-0.003,-0.004,12.4,359.0,0.4
1.39,LeftHandAnchor,-0.151,-0.145,0.230,279.4,89.4,278.7
1.39,RightHandAnchor,0.154,-0.142,0.249,277.5,50.0,296.0
1.39,Head,0.002,-0.003,-0.004,12.3,359.0,0.4
1.45,LeftHandAnchor,-0.153,-0.145,0.230,277.3,76.9,289.6
1.45,RightHandAnchor,0.156,-0.141,0.251,279.7,54.8,292.6
1.45,Head,0.002,-0.003,-0.004,12.3,359.0,0.4
1.50,LeftHandAnchor,-0.154,-0.144,0.230,274.0,42.5,321.0
1.50,RightHandAnchor,0.157,-0.142,0.252,280.0,69.8,279.5
1.50,Head,0.002,-0.003,-0.004,12.4,358.9,0.4
1.56,LeftHandAnchor,-0.156,-0.144,0.232,273.2,36.4,326.5
1.56,RightHandAnchor,0.158,-0.142,0.254,281.1,75.3,274.4
1.56,Head,0.002,-0.003,-0.004,12.4,358.9,0.4
1.61,LeftHandAnchor,-0.156,-0.145,0.235,272.8,1.3,0.1
1.61,RightHandAnchor,0.159,-0.142,0.257,280.8,98.2,251.8
1.61,Head,0.002,-0.003,-0.004,12.4,358.8,0.4
1.67,LeftHandAnchor,-0.154,-0.145,0.236,275.0,287.7,67.4
1.67,RightHandAnchor,0.156,-0.139,0.260,286.5,103.5,245.4
1.67,Head,0.002,-0.003,-0.004,12.2,358.9,0.3
1.72,LeftHandAnchor,-0.146,-0.146,0.239,291.2,293.1,67.4
1.72,RightHandAnchor,0.146,-0.144,0.266,299.3,80.0,260.8
1.72,Head,0.002,-0.003,-0.004,12.2,359.1,0.4
1.78,LeftHandAnchor,-0.135,-0.150,0.242,299.7,293.2,81.4
1.78,RightHandAnchor,0.134,-0.143,0.260,301.9,74.3,264.5
1.78,Head,0.002,-0.002,-0.005,12.1,359.1,0.3
1.84,LeftHandAnchor,-0.125,-0.149,0.240,313.1,300.0,84.9
1.84,RightHandAnchor,0.125,-0.137,0.249,312.1,65.4,268.5
1.84,Head,0.002,-0.002,-0.005,12.0,359.0,0.2
1.89,LeftHandAnchor,-0.127,-0.147,0.240,325.8,305.1,90.7
1.89,RightHandAnchor,0.127,-0.129,0.246,318.5,64.5,259.1
1.89,Head,0.003,-0.002,-0.006,11.8,359.0,0.2
1.95,LeftHandAnchor,-0.130,-0.145,0.245,326.0,301.5,91.0
1.95,RightHandAnchor,0.126,-0.127,0.241,322.2,62.6,263.6
1.95,Head,0.003,-0.002,-0.006,11.6,359.2,0.1
2.00,LeftHandAnchor,-0.128,-0.150,0.248,306.4,298.1,74.9
2.00,RightHandAnchor,0.124,-0.131,0.242,303.4,76.0,271.6
2.00,Head,0.003,-0.001,-0.007,11.5,359.4,360.0
2.06,LeftHandAnchor,-0.151,-0.170,0.257,277.8,325.2,37.0
2.06,RightHandAnchor,0.145,-0.146,0.259,273.1,39.9,308.5
2.06,Head,0.004,-0.001,-0.007,11.6,359.5,0.1
2.11,LeftHandAnchor,-0.154,-0.172,0.263,286.2,69.6,289.0
2.11,RightHandAnchor,0.153,-0.152,0.260,290.4,255.2,91.2
2.11,Head,0.004,-0.001,-0.007,11.6,359.5,360.0
2.17,LeftHandAnchor,-0.148,-0.172,0.267,296.4,83.8,278.2
2.17,RightHandAnchor,0.158,-0.151,0.275,304.2,246.3,102.9
2.17,Head,0.004,-0.001,-0.007,11.6,359.4,0.0
2.23,LeftHandAnchor,-0.146,-0.170,0.265,289.3,83.6,277.6
2.23,RightHandAnchor,0.155,-0.150,0.269,291.6,238.4,106.8
2.23,Head,0.004,-0.002,-0.007,11.7,359.4,360.0
2.28,LeftHandAnchor,-0.139,-0.160,0.253,277.0,308.0,54.7
2.28,RightHandAnchor,0.146,-0.149,0.263,280.8,111.3,226.6
2.28,Head,0.005,-0.002,-0.007,12.0,359.6,359.8
2.34,LeftHandAnchor,-0.133,-0.155,0.246,294.8,289.0,84.4
2.34,RightHandAnchor,0.128,-0.140,0.265,300.8,95.7,232.9
2.34,Head,0.005,-0.002,-0.007,12.1,359.7,359.7
2.39,LeftHandAnchor,-0.124,-0.139,0.232,314.1,295.0,97.1
2.39,RightHandAnchor,0.129,-0.137,0.258,323.4,64.2,247.7
2.39,Head,0.006,-0.002,-0.007,12.1,359.5,359.5
2.45,LeftHandAnchor,-0.126,-0.130,0.223,320.9,301.0,91.4
2.45,RightHandAnchor,0.138,-0.131,0.256,318.9,63.8,261.7
2.45,Head,0.006,-0.002,-0.008,12.0,359.5,359.3
2.50,LeftHandAnchor,-0.127,-0.146,0.230,295.7,286.6,79.5
2.50,RightHandAnchor,0.131,-0.140,0.260,299.3,72.6,273.3
2.50,Head,0.006,-0.002,-0.008,11.9,359.6,359.3
2.56,LeftHandAnchor,-0.160,-0.165,0.258,280.1,110.4,248.3
2.56,RightHandAnchor,0.143,-0.152,0.259,277.1,258.1,88.3
2.56,Head,0.007,-0.002,-0.008,11.9,359.7,359.4
2.61,LeftHandAnchor,-0.156,-0.164,0.258,299.0,104.8,254.4
2.61,RightHandAnchor,0.153,-0.155,0.269,299.3,239.0,106.8
2.61,Head,0.006,-0.002,-0.008,12.0,359.7,359.3
2.67,LeftHandAnchor,-0.140,-0.161,0.251,297.0,106.2,252.5
2.67,RightHandAnchor,0.154,-0.151,0.270,302.2,233.0,112.9
2.67,Head,0.006,-0.002,-0.008,12.0,359.6,359.5
2.73,LeftHandAnchor,-0.140,-0.159,0.249,274.0,130.4,227.6
2.73,RightHandAnchor,0.157,-0.147,0.267,281.8,170.1,169.5
2.73,Head,0.006,-0.002,-0.008,12.1,359.5,359.4
2.78,LeftHandAnchor,-0.131,-0.152,0.245,289.3,274.1,94.5
2.78,RightHandAnchor,0.149,-0.152,0.264,301.3,94.9,239.2
2.78,Head,0.006,-0.003,-0.008,12.2,359.4,359.5
2.84,LeftHandAnchor,-0.124,-0.150,0.241,304.6,286.8,99.4
2.84,RightHandAnchor,0.145,-0.145,0.267,318.9,81.7,239.3
2.84,Head,0.006,-0.003,-0.008,12.2,359.3,359.5
2.89,LeftHandAnchor,-0.126,-0.133,0.224,321.3,299.6,101.3
2.89,RightHandAnchor,0.153,-0.119,0.262,331.3,72.9,241.9
2.89,Head,0.006,-0.003,-0.008,12.3,359.3,359.4
2.95,LeftHandAnchor,-0.126,-0.132,0.225,320.9,298.2,94.1
2.95,RightHandAnchor,0.144,-0.123,0.259,322.0,74.8,252.8
2.95,Head,0.007,-0.003,-0.008,12.2,359.5,359.4
3.00,LeftHandAnchor,-0.130,-0.153,0.241,300.6,289.0,80.1
3.00,RightHandAnchor,0.133,-0.147,0.253,301.2,78.9,265.0
3.00,Head,0.007,-0.003,-0.008,12.1,359.8,359.5
3.06,LeftHandAnchor,-0.156,-0.158,0.250,280.6,319.2,33.0
3.06,RightHandAnchor,0.149,-0.135,0.240,277.0,359.6,349.7
3.06,Head,0.008,-0.003,-0.008,12.2,0.1,359.5
3.11,LeftHandAnchor,-0.153,-0.160,0.255,272.6,0.3,350.5
3.11,RightHandAnchor,0.144,-0.142,0.244,291.1,261.7,81.8
3.11,Head,0.009,-0.003,-0.008,12.3,0.7,359.5
3.17,LeftHandAnchor,-0.146,-0.158,0.253,276.0,327.1,27.5
3.17,RightHandAnchor,0.138,-0.144,0.259,303.7,248.4,96.9
3.17,Head,0.009,-0.003,-0.008,12.3,1.5,359.7
3.23,LeftHandAnchor,-0.146,-0.156,0.252,275.8,315.3,40.6
3.23,RightHandAnchor,0.140,-0.144,0.260,298.7,244.9,102.5
3.23,Head,0.009,-0.003,-0.007,12.3,2.2,0.1
3.28,LeftHandAnchor,-0.146,-0.153,0.248,277.6,306.1,52.1
3.28,RightHandAnchor,0.142,-0.145,0.260,275.4,163.0,175.9
3.28,Head,0.009,-0.003,-0.008,12.4,2.6,0.3
3.34,LeftHandAnchor,-0.146,-0.151,0.245,281.9,295.8,68.3
3.34,RightHandAnchor,0.139,-0.147,0.259,295.9,77.7,256.5
3.34,Head,0.009,-0.003,-0.007,12.4,2.8,0.4
3.39,LeftHandAnchor,-0.146,-0.150,0.244,283.2,295.7,67.4
3.39,RightHandAnchor,0.128,-0.138,0.256,321.8,71.5,253.2
3.39,Head,0.009,-0.003,-0.008,12.4,2.7,0.4
3.45,LeftHandAnchor,-0.145,-0.150,0.244,282.2,292.8,69.5
3.45,RightHandAnchor,0.141,-0.126,0.253,334.7,59.8,250.5
3.45,Head,0.008,-0.003,-0.008,12.4,2.4,0.5
3.50,LeftHandAnchor,-0.145,-0.150,0.244,283.2,297.5,65.9
3.50,RightHandAnchor,0.143,-0.127,0.257,333.5,57.9,254.1
3.50,Head,0.009,-0.003,-0.008,12.4,2.4,0.4
3.56,LeftHandAnchor,-0.142,-0.149,0.243,290.3,295.5,73.2
3.56,RightHandAnchor,0.123,-0.145,0.254,307.3,68.3,272.0
3.56,Head,0.009,-0.003,-0.008,12.3,2.5,0.4
3.61,LeftHandAnchor,-0.136,-0.148,0.243,294.3,293.3,78.1
3.61,RightHandAnchor,0.131,-0.147,0.250,280.7,26.5,322.8
3.61,Head,0.010,-0.002,-0.008,12.3,2.6,0.2
3.67,LeftHandAnchor,-0.134,-0.148,0.242,294.5,294.3,76.6
3.67,RightHandAnchor,0.137,-0.153,0.258,288.4,267.2,82.6
3.67,Head,0.010,-0.002,-0.009,12.3,2.4,0.2
3.73,LeftHandAnchor,-0.131,-0.150,0.241,291.8,300.4,69.3
3.73,RightHandAnchor,0.138,-0.151,0.265,304.2,254.0,90.8
3.73,Head,0.009,-0.002,-0.009,12.2,2.1,0.1
3.78,LeftHandAnchor,-0.131,-0.152,0.242,290.5,304.8,65.4
