t,object,x,y,z,pitch,yaw,roll
0.09,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.09,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.14,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.14,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.20,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.20,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.25,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.25,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.31,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.31,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.36,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.36,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.42,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.42,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.47,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.47,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.47,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.53,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.53,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.58,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.58,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.64,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.64,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.70,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.70,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.75,LeftHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,RightHandAnchor,0.000,0.000,0.000,0.0,0.0,0.0
0.75,Head,0.000,0.000,0.000,0.0,0.0,0.0
0.81,LeftHandAnchor,-0.101,-0.160,0.154,297.7,324.2,28.9
0.81,RightHandAnchor,0.183,-0.153,0.110,301.3,28.9,347.3
0.81,Head,0.015,-0.022,-0.092,6.7,7.8,0.5
0.86,LeftHandAnchor,-0.102,-0.152,0.132,306.1,333.1,15.9
0.86,RightHandAnchor,0.186,-0.151,0.096,311.4,25.2,355.5
0.86,Head,0.015,-0.022,-0.091,6.6,7.8,0.7
0.92,LeftHandAnchor,-0.104,-0.144,0.106,326.0,335.4,12.0
0.92,RightHandAnchor,0.177,-0.143,0.055,333.1,27.0,357.0
0.92,Head,0.015,-0.022,-0.091,6.8,8.0,0.7
0.98,LeftHandAnchor,-0.104,-0.133,0.095,345.5,336.7,3.2
0.98,RightHandAnchor,0.179,-0.127,0.045,349.8,24.9,5.9
0.98,Head,0.014,-0.023,-0.091,6.9,8.0,0.7
1.04,LeftHandAnchor,-0.115,-0.132,0.098,355.5,340.8,352.8
1.04,RightHandAnchor,0.194,-0.120,0.057,358.9,23.2,11.6
1.04,Head,0.014,-0.023,-0.091,6.9,8.0,0.8
1.09,LeftHandAnchor,-0.128,-0.131,0.101,4.0,352.5,1.2
1.09,RightHandAnchor,0.211,-0.120,0.059,3.1,15.7,3.2
1.09,Head,0.013,-0.022,-0.092,6.9,8.0,0.9
1.15,LeftHandAnchor,-0.147,-0.124,0.115,12.6,7.6,4.8
1.15,RightHandAnchor,0.221,-0.118,0.063,7.1,5.1,355.1
1.15,Head,0.013,-0.022,-0.093,7.0,8.0,0.8
1.20,LeftHandAnchor,-0.167,-0.127,0.137,17.5,23.2,23.2
1.20,RightHandAnchor,0.255,-0.130,0.080,4.4,345.3,344.9
1.20,Head,0.013,-0.022,-0.093,6.9,8.0,0.9
1.26,LeftHandAnchor,-0.185,-0.140,0.159,15.4,45.2,32.6
1.26,RightHandAnchor,0.278,-0.145,0.123,5.3,328.3,334.3
1.26,Head,0.012,-0.022,-0.094,6.7,8.0,1.1
1.32,LeftHandAnchor,-0.194,-0.158,0.177,2.0,62.3,42.2
1.32,RightHandAnchor,0.289,-0.169,0.138,355.6,314.2,320.7
1.32,Head,0.012,-0.022,-0.094,6.9,8.0,1.1
1.37,LeftHandAnchor,-0.196,-0.174,0.203,350.4,78.9,49.0
1.37,RightHandAnchor,0.291,-0.190,0.155,342.9,304.5,308.6
1.37,Head,0.012,-0.022,-0.094,7.2,7.9,1.1
1.43,LeftHandAnchor,-0.196,-0.178,0.217,336.4,95.4,47.1
1.43,RightHandAnchor,0.279,-0.203,0.174,324.8,281.0,307.9
1.43,Head,0.012,-0.023,-0.093,7.4,7.7,1.0
1.48,LeftHandAnchor,-0.182,-0.180,0.220,322.5,101.3,52.2
